cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only
200307,FR,25,2027,44.8098,-124.2875,44.7745,-124.3123,2003-07-18T23:06:00-08,2003-07-18T23:36:00-08,16.1,bucket,3.4,161828,"Engraulis mordax",NA,9.1,NA,N
200307,FR,25,2027,44.8098,-124.2875,44.7745,-124.3123,2003-07-18T23:06:00-08,2003-07-18T23:36:00-08,16.1,bucket,3.4,167123,"Anoplopoma fimbria",1,0.8,NA,N
200307,FR,25,2027,44.8098,-124.2875,44.7745,-124.3123,2003-07-18T23:06:00-08,2003-07-18T23:36:00-08,16.1,bucket,3.4,168586,"Trachurus symmetricus",30,22.7,NA,N
200307,FR,25,2027,44.8098,-124.2875,44.7745,-124.3123,2003-07-18T23:06:00-08,2003-07-18T23:36:00-08,16.1,bucket,3.4,172412,"Scomber japonicus",1,0.15,NA,N
200307,FR,26,2028,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T00:43:00-08,2003-07-18T01:13:00-08,16.5,TSG,3.4,161729,"Sardinops sagax",50,8.174,206.8,N
200307,FR,26,2028,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T00:43:00-08,2003-07-18T01:13:00-08,16.5,TSG,3.4,161828,"Engraulis mordax",50,0.5,NA,N
200307,FR,26,2028,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T00:43:00-08,2003-07-18T01:13:00-08,16.5,TSG,3.4,168586,"Trachurus symmetricus",30,22.7,NA,N
200307,FR,26,2028,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T00:43:00-08,2003-07-18T01:13:00-08,16.5,TSG,3.4,172412,"Scomber japonicus",1,0.2,NA,N
200307,FR,26,2028,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T00:43:00-08,2003-07-18T01:13:00-08,16.5,TSG,3.4,551209,"Clupea pallasii",NA,206.8,NA,N
200307,FR,27,2029,44.6425,-124.4745,44.6253,-124.4786,2003-07-18T02:24:00-08,2003-07-18T02:39:00-08,15.4,TSG,3.4,161729,"Sardinops sagax",50,10.155,5.754,N
200307,FR,27,2029,44.6425,-124.4745,44.6253,-124.4786,2003-07-18T02:24:00-08,2003-07-18T02:39:00-08,15.4,TSG,3.4,168586,"Trachurus symmetricus",10,8,NA,N
200307,FR,27,2029,44.6425,-124.4745,44.6253,-124.4786,2003-07-18T02:24:00-08,2003-07-18T02:39:00-08,15.4,TSG,3.4,172412,"Scomber japonicus",1,0.2,NA,N
200307,FR,27,2029,44.6425,-124.4745,44.6253,-124.4786,2003-07-18T02:24:00-08,2003-07-18T02:39:00-08,15.4,TSG,3.4,551209,"Clupea pallasii",NA,500,NA,N
200307,FR,28,2030,44.54,-124.5248,44.5061,-124.5348,2003-07-18T03:44:00-08,2003-07-18T04:14:00-08,15.9,TSG,3.4,168586,"Trachurus symmetricus",4,3.6,NA,N
200307,FR,28,2030,44.54,-124.5248,44.5061,-124.5348,2003-07-18T03:44:00-08,2003-07-18T04:14:00-08,15.9,TSG,3.4,551209,"Clupea pallasii",5,0.45,NA,N
200307,FR,29,2031,43.1501,-124.8101,43.1783,-124.802,2003-07-19T23:09:00-08,2003-07-19T23:39:00-08,14.6,TSG,3.4,95496,Euphausiacea,NA,0.45,NA,N
200307,FR,29,2031,43.1501,-124.8101,43.1783,-124.802,2003-07-19T23:09:00-08,2003-07-19T23:39:00-08,14.6,TSG,3.4,160424,"Prionace glauca",3,95,NA,N
200307,FR,29,2031,43.1501,-124.8101,43.1783,-124.802,2003-07-19T23:09:00-08,2003-07-19T23:39:00-08,14.6,TSG,3.4,164792,"Merluccius productus",101,1.3,NA,N
200307,FR,29,2031,43.1501,-124.8101,43.1783,-124.802,2003-07-19T23:09:00-08,2003-07-19T23:39:00-08,14.6,TSG,3.4,168586,"Trachurus symmetricus",13,13.6,NA,N
200307,FR,29,2031,43.1501,-124.8101,43.1783,-124.802,2003-07-19T23:09:00-08,2003-07-19T23:39:00-08,14.6,TSG,3.4,172412,"Scomber japonicus",5,0.1,NA,N
200307,FR,30,2032,43.6876,-124.6648,43.7176,-124.6576,2003-07-19T03:25:00-08,2003-07-19T03:55:00-08,15.6,TSG,3.2,202423,Animalia,NA,32,NA,N
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,160424,"Prionace glauca",1,32,NA,N
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,161729,"Sardinops sagax",50,10.18,467.35,N
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,161828,"Engraulis mordax",NA,0.1,NA,N
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,164792,"Merluccius productus",NA,0.8,NA,N
